"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"hip-to-be-square-moral-compass","Moral Compass","<p>Moral Compass pattern from our Hip To Be Square collection. Pattern #27-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/moral-compass.jpg","1","Moral Compass pattern thumbnail","Moral Compass - Hip To Be Square Collection | ColorFlex Wallpaper","Moral Compass pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","moral-compass","5","Center,Scallop,Outter Flowers,Inner Flowers,Outline","24x24","straight","SW6394 SEQUIN,SW6425 RELENTLESS OLIVE,SW6424 TANSY GREEN,SW0039 MELLOW MAUVE,SW6356 COPPER MOUNTAIN,SW6990 CAVIAR","27-101","","","",""
"hip-to-be-square-moral-compass","Moral Compass","<p>Moral Compass pattern from our Hip To Be Square collection. Pattern #27-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/moral-compass.jpg","","","Moral Compass - Hip To Be Square Collection | ColorFlex Wallpaper","Moral Compass pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","moral-compass","5","Center,Scallop,Outter Flowers,Inner Flowers,Outline","24x24","straight","SW6394 SEQUIN,SW6425 RELENTLESS OLIVE,SW6424 TANSY GREEN,SW0039 MELLOW MAUVE,SW6356 COPPER MOUNTAIN,SW6990 CAVIAR","27-101","","","",""
"hip-to-be-square-moral-compass","Moral Compass","<p>Moral Compass pattern from our Hip To Be Square collection. Pattern #27-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-101-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/moral-compass.jpg","","","Moral Compass - Hip To Be Square Collection | ColorFlex Wallpaper","Moral Compass pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","moral-compass","5","Center,Scallop,Outter Flowers,Inner Flowers,Outline","24x24","straight","SW6394 SEQUIN,SW6425 RELENTLESS OLIVE,SW6424 TANSY GREEN,SW0039 MELLOW MAUVE,SW6356 COPPER MOUNTAIN,SW6990 CAVIAR","27-101","","","",""
"hip-to-be-square-sunflower-vine","Sunflower Vine","<p>Sunflower Vine pattern from our Hip To Be Square collection. Pattern #27-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/sunflower-vine.jpg","1","Sunflower Vine pattern thumbnail","Sunflower Vine - Hip To Be Square Collection | ColorFlex Wallpaper","Sunflower Vine pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","sunflower-vine","5","Leaves,Centers,Flower,Tulips,Tulips Outline","24x24","straight","SW0053 PORCELAIN,SW6214 UNDERSEAS,SW6394 SEQUIN,SW6395 ALCHEMY,SW0006 TOILE RED,SW7069 IRON ORE","27-103","","","",""
"hip-to-be-square-sunflower-vine","Sunflower Vine","<p>Sunflower Vine pattern from our Hip To Be Square collection. Pattern #27-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/sunflower-vine.jpg","","","Sunflower Vine - Hip To Be Square Collection | ColorFlex Wallpaper","Sunflower Vine pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","sunflower-vine","5","Leaves,Centers,Flower,Tulips,Tulips Outline","24x24","straight","SW0053 PORCELAIN,SW6214 UNDERSEAS,SW6394 SEQUIN,SW6395 ALCHEMY,SW0006 TOILE RED,SW7069 IRON ORE","27-103","","","",""
"hip-to-be-square-sunflower-vine","Sunflower Vine","<p>Sunflower Vine pattern from our Hip To Be Square collection. Pattern #27-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-103-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/sunflower-vine.jpg","","","Sunflower Vine - Hip To Be Square Collection | ColorFlex Wallpaper","Sunflower Vine pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","sunflower-vine","5","Leaves,Centers,Flower,Tulips,Tulips Outline","24x24","straight","SW0053 PORCELAIN,SW6214 UNDERSEAS,SW6394 SEQUIN,SW6395 ALCHEMY,SW0006 TOILE RED,SW7069 IRON ORE","27-103","","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip To Be Square collection. Pattern #27-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","1","Doo See Doo pattern thumbnail","Doo See Doo - Hip To Be Square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","doo-see-doo","10","Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Flowers,Tiny Flowers,Centers,Outline","24x24","straight","SC0002 COTTAGE COAL,SW7069 IRON ORE,SW7067 CITYSCAPE,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN,SW7729 EDAMAME,SW7726 LEMON VERBENA,SW6212 QUIETUDE,SW7699 RUSTIC CITY,SW6332 CORAL ISLAND,SW6306 CORDIAL,SW6135 ECRU,SW6242 BRACING BLUE,SW6243 DISTANCE,SW6186 DRIED THYME,SW9130 EVERGREEN FOG,SW6204 SEA SALT","27-104","","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip To Be Square collection. Pattern #27-104. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","27-104-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","","","Doo See Doo - Hip To Be Square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","doo-see-doo","10","Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Flowers,Tiny Flowers,Centers,Outline","24x24","straight","SC0002 COTTAGE COAL,SW7069 IRON ORE,SW7067 CITYSCAPE,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN,SW7729 EDAMAME,SW7726 LEMON VERBENA,SW6212 QUIETUDE,SW7699 RUSTIC CITY,SW6332 CORAL ISLAND,SW6306 CORDIAL,SW6135 ECRU,SW6242 BRACING BLUE,SW6243 DISTANCE,SW6186 DRIED THYME,SW9130 EVERGREEN FOG,SW6204 SEA SALT","27-104","","","",""
"hip-to-be-square-doo-see-doo","Doo See Doo","<p>Doo See Doo pattern from our Hip To Be Square collection. Pattern #27-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","27-104-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/doo-see-doo.jpg","","","Doo See Doo - Hip To Be Square Collection | ColorFlex Wallpaper","Doo See Doo pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","doo-see-doo","10","Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Ruffle,Flowers,Tiny Flowers,Centers,Outline","24x24","straight","SC0002 COTTAGE COAL,SW7069 IRON ORE,SW7067 CITYSCAPE,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN,SW7729 EDAMAME,SW7726 LEMON VERBENA,SW6212 QUIETUDE,SW7699 RUSTIC CITY,SW6332 CORAL ISLAND,SW6306 CORDIAL,SW6135 ECRU,SW6242 BRACING BLUE,SW6243 DISTANCE,SW6186 DRIED THYME,SW9130 EVERGREEN FOG,SW6204 SEA SALT","27-104","","","",""
"hip-to-be-square-d00-see-doo-companion","D00 See Doo Companion","<p>D00 See Doo Companion pattern from our Hip To Be Square collection. Pattern #27-104A. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Hip To Be Square","Home & Garden > Decor","ColorFlex Pattern","hip-to-be-square, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","27-104A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/hip-to-be-square/thumbnails/d00-see-doo-companion.jpg","1","D00 See Doo Companion pattern thumbnail","D00 See Doo Companion - Hip To Be Square Collection | ColorFlex Wallpaper","D00 See Doo Companion pattern from our Hip To Be Square collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","hip-to-be-square","d00-see-doo-companion","7","Center,Center,Center,Center,Center,Center,Center","24x24","straight","SW6159 HIGH TEA,SW6371 VANILLIN,SW6215 ROCKY RIVER,SW6394 SEQUIN,SW9133 JASPER STONE,SW6371 VANILLIN,SW6395 ALCHEMY,SW7069 IRON ORE","27-104A","","","",""
